method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
STSMOTE,5,16,0,Brute Force -Web,0.6688596486754433,301,1,0.635955055743795,323,1,0.530909090517827,387,0,0.6004618933428627,346,0
STSMOTE,5,17,0,Brute Force -Web,0.8306220090805575,172,5,0.799605132785239,201,2,0.7070063689663272,273,3,0.8055009818348469,196,2
STSMOTE,5,18,0,Brute Force -Web,0.8504672892268426,151,9,0.7299270068325473,256,3,0.4659949618540248,421,3,0.7261410783697595,256,8
STSMOTE,5,19,0,Brute Force -Web,0.7027600844652748,275,5,0.6331096192486474,323,5,0.5771028033234507,359,3,0.4729559744791423,418,1
STSMOTE,5,20,0,Brute Force -Web,0.805853658051655,193,6,0.8322147646122026,172,3,0.7540983601834268,238,2,0.9005424949821685,108,2
STSMOTE,5,21,0,Brute Force -Web,0.8298279153809871,172,6,0.7515400405960727,240,2,0.67538126316637,296,2,0.8027477914692557,197,4
STSMOTE,5,22,0,Brute Force -Web,0.8390804592814551,168,0,0.8066732085448124,195,2,0.7016042776172495,278,1,0.8070866136902473,196,0
STSMOTE,5,23,0,Brute Force -Web,0.8412098293766782,161,7,0.8396946559991915,166,2,0.7778894467583991,219,2,0.8507877659564368,147,14
STSMOTE,5,24,0,Brute Force -Web,0.6555924691030538,310,1,0.5605700708541251,370,0,0.3301237961452787,486,1,0.6390134524777142,321,1
STSMOTE,2,0,0,Brute Force -XSS,0.6369047614647463,121,1,0.6388059697106705,121,0,0.6388059697106705,121,0,0.6388059697106705,121,0
STSMOTE,2,1,0,Brute Force -XSS,0.9592760175957084,16,2,0.8062827220276308,74,0,0.7708894873927099,85,0,0.8124999995133464,72,0
STSMOTE,2,2,0,Brute Force -XSS,0.8484848479920417,60,0,0.8316326525703093,65,1,0.833759590302392,65,0,0.8571428566487648,57,0
STSMOTE,2,3,0,Brute Force -XSS,0.8277634956545357,67,0,0.8041775452058709,74,1,0.8247422675523435,68,0,0.8367346933866097,64,0
STSMOTE,2,4,0,Brute Force -XSS,0.750684931033815,91,0,0.767567567090431,86,0,0.7118644063171503,102,0,0.733333332864815,96,0
STSMOTE,2,5,0,Brute Force -XSS,0.5687499995867578,137,1,0.4918032783078527,153,2,0.4697986573555244,158,0,0.5194805190925956,148,0
STSMOTE,2,6,0,Brute Force -XSS,0.7654986518132243,86,1,0.7438016524212826,93,0,0.7226890751646542,99,0,0.733333332864815,96,0
STSMOTE,2,7,0,Brute Force -XSS,0.6369047614647463,121,1,0.6388059697106705,121,0,0.6388059697106705,121,0,0.6388059697106705,121,0
STSMOTE,2,8,0,Brute Force -XSS,0.6369047614647463,121,1,0.6388059697106705,121,0,0.6388059697106705,121,0,0.6388059697106705,121,0
STSMOTE,2,9,0,Brute Force -XSS,0.6388059697106705,121,0,0.6388059697106705,121,0,0.6388059697106705,121,0,0.6388059697106705,121,0
STSMOTE,2,10,0,Brute Force -XSS,0.536741213658443,144,1,0.4950495045747149,153,0,0.4489795914854921,162,0,0.5569620249110719,140,0
STSMOTE,2,11,0,Brute Force -XSS,0.8937198062641135,43,1,0.833759590302392,65,0,0.833759590302392,65,0,0.8599999995055,56,0
STSMOTE,2,12,0,Brute Force -XSS,0.4055944052682282,170,0,0.3829787230918968,174,0,0.3829787230918968,174,0,0.3829787230918968,174,0
