method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
TabSyn,2,8,0,Brute Force -XSS,0.6369047614647463,121,1,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,9,0,Brute Force -XSS,0.6388059697106705,121,0,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,10,0,Brute Force -XSS,0.5242718442699594,147,0,0.1234567900066046,213,0,0.2727272724896694,192,0,0.5098039211854415,150,0
TabSyn,2,11,0,Brute Force -XSS,0.8346055974729782,64,1,0.6468842725555389,119,0,0.2595419845049822,194,0,0.8031496058143716,75,0
TabSyn,2,12,0,Brute Force -XSS,0.3772241989794961,175,0,0.0429184548932564,223,0,0.0259740259481643,225,0,0.3597122299182236,178,0
TabSyn,2,13,0,Brute Force -XSS,0.8549999995055251,57,1,0.6265060236623602,124,0,0.6181818177509641,126,0,0.6705539354104156,113,0
TabSyn,2,14,0,Brute Force -XSS,0.6369047614647463,121,1,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,15,0,Brute Force -XSS,0.6390532539950282,120,2,0.6181818177509641,126,0,0.5384615380645956,144,0,0.6428571424170918,120,0
TabSyn,2,16,0,Brute Force -XSS,0.7191011231309178,100,0,0.6139817624887057,127,0,0.6265060236623602,124,0,0.6971428566847345,106,0
TabSyn,2,17,0,Brute Force -XSS,0.8277634956545357,67,0,0.65882352896609,116,0,0.6627565977934486,115,0,0.8093994773207261,73,0
TabSyn,2,18,0,Brute Force -XSS,0.5384615380645956,144,0,0.1387755100738026,211,0,0.2857142854672395,190,0,0.4884488445087517,154,1
TabSyn,2,19,0,Brute Force -XSS,0.6388059697106705,121,0,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,20,0,Brute Force -XSS,0.8528678299290925,57,2,0.6428571424170918,120,0,0.6428571424170918,120,0,0.6820809244020849,110,0
TabSyn,2,21,0,Brute Force -XSS,0.6388059697106705,121,0,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,22,0,Brute Force -XSS,0.8093994773207261,73,0,0.6428571424170918,120,0,0.6428571424170918,120,0,0.7472527467805821,92,0
TabSyn,2,23,0,Brute Force -XSS,0.6369047614647463,121,1,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
TabSyn,2,24,0,Brute Force -XSS,0.8426395934167331,62,0,0.65882352896609,116,0,0.6223564950358248,125,0,0.717086834268327,100,1
TabSyn,5,0,0,Brute Force -XSS,0.933962263648418,27,1,0.8636363631412994,54,0,0.9311163890466426,29,0,0.9104116217756334,37,0
TabSyn,5,1,0,Brute Force -XSS,0.9772727267685434,10,0,0.7671232871941452,85,0,0.8805970144281207,48,0,0.9361702122635682,27,0
TabSyn,5,2,0,Brute Force -XSS,0.9510489505457154,21,0,0.8402061850754464,62,0,0.8888888883906723,45,0,0.8461538456613412,60,0
TabSyn,5,3,0,Brute Force -XSS,0.7465181053775498,91,0,0.6322188445485906,121,0,0.7704918028008152,84,0,0.7106017187355111,101,0
TabSyn,5,4,0,Brute Force -XSS,0.9108433729931428,36,1,0.6363636359258953,120,0,0.6445783128122913,118,0,0.7499999995270834,90,0
TabSyn,5,5,0,Brute Force -XSS,0.907766989791109,38,0,0.8431876601763404,61,0,0.7837837833029218,80,0,0.933962263648418,27,1
TabSyn,5,6,0,Brute Force -XSS,0.897058823030313,42,0,0.6916426508368975,105,2,0.9678899077529564,14,0,0.765027321926528,85,1
TabSyn,5,7,0,Brute Force -XSS,0.9007263917514672,39,2,0.6486486482064768,117,0,0.6404833832465567,119,0,0.8749999995034375,50,0
TabSyn,5,8,0,Brute Force -XSS,0.9795918362304596,9,0,0.891625615265027,44,0,0.9336492885973025,28,0,0.9108433729931428,36,1
TabSyn,5,9,0,Brute Force -XSS,0.9559164728144012,19,0,0.9386792447804712,26,0,0.9702517157431416,13,0,0.897058823030313,42,0
TabSyn,5,10,0,Brute Force -XSS,0.8219895283073517,68,0,0.6686390528053815,112,0,0.6764705877836505,110,0,0.8341968907011329,64,0
TabSyn,5,11,0,Brute Force -XSS,0.8372093018345053,63,0,0.4745762708212582,155,0,0.6153846149547929,125,0,0.8281249995104574,66,0
TabSyn,5,12,0,Brute Force -XSS,0.9773755651066012,9,1,0.8607594931762217,55,0,0.95348837158967,20,0,0.9772727267685434,10,0
TabSyn,5,13,0,Brute Force -XSS,0.6303030298653259,121,1,0.6153846149547929,125,0,0.6322188445485906,121,0,0.6322188445485906,121,0
TabSyn,5,14,0,Brute Force -XSS,0.6322188445485906,121,0,0.6153846149547929,125,0,0.6322188445485906,121,0,0.6322188445485906,121,0
