method,seed_size,seed_undersample_state,random_state,minority_class_name,CatBoost_f1_minority,CatBoost_min_as_maj,CatBoost_maj_as_min,XGBoost_f1_minority,XGBoost_min_as_maj,XGBoost_maj_as_min,LightGBM_f1_minority,LightGBM_min_as_maj,LightGBM_maj_as_min,TabM_f1_minority,TabM_min_as_maj,TabM_maj_as_min
SMOTE,5,13,0,Brute Force -Web,0.4495530009260841,430,1,0.3465211456880152,479,0,0.3415300543588715,481,1,0.4156862741794284,447,0
SMOTE,5,14,0,Brute Force -Web,0.6738660902589834,294,8,0.8262548257676615,178,2,0.83253588467864,171,4,0.6782987999864716,295,0
SMOTE,5,15,0,Brute Force -Web,0.8105468745152703,191,3,0.7293625909655325,257,2,0.7667342794435772,228,2,0.5923344943552389,351,0
SMOTE,5,16,0,Brute Force -Web,0.6068965513000079,342,0,0.4999999996237624,404,0,0.514075887008517,396,1,0.5972222218019547,348,0
SMOTE,5,17,0,Brute Force -Web,0.5886442637750765,352,3,0.5754385960770534,360,3,0.7571428566693336,235,3,0.5846867745230699,354,4
SMOTE,5,18,0,Brute Force -Web,0.5954022984264712,347,5,0.3365253075131006,483,2,0.5486935862935832,375,5,0.5863267666719533,353,4
SMOTE,5,19,0,Brute Force -Web,0.6326304102129956,321,10,0.5797438878252292,357,4,0.3834886814450399,462,1,0.6436525608069157,317,3
SMOTE,5,20,0,Brute Force -Web,0.5545023692619887,372,4,0.6375838921792862,321,3,0.5085995082177918,399,1,0.6164383557365358,336,0
SMOTE,5,21,0,Brute Force -Web,0.4769038697927465,415,4,0.6174801357780305,334,3,0.7226890751660282,262,2,0.5967741931255441,347,3
SMOTE,5,22,0,Brute Force -Web,0.7964250243453561,205,0,0.6180159630835191,335,0,0.4619289336537401,424,0,0.6939655167867121,284,0
SMOTE,5,23,0,Brute Force -Web,0.6313416004676187,326,1,0.5925925921723358,350,2,0.548926013918091,376,2,0.6020761241452569,345,0
SMOTE,5,24,0,Brute Force -Web,0.6374859703827702,322,1,0.280851063587578,507,0,0.2710413692370996,511,0,0.6428571424178989,318,2
SMOTE,2,0,0,Brute Force -XSS,0.6388059697106705,121,0,0.6223564950358248,125,0,0.6388059697106705,121,0,0.6388059697106705,121,0
SMOTE,2,1,0,Brute Force -XSS,0.83076923027929,66,0,0.6428571424170918,120,0,0.7540983601818507,90,0,0.93208430863143,29,0
SMOTE,2,2,0,Brute Force -XSS,0.8367346933866097,64,0,0.7872340420716387,80,0,0.7904509278997248,79,0,0.83076923027929,66,0
SMOTE,2,3,0,Brute Force -XSS,0.8093994773207261,73,0,0.6896551719579865,108,0,0.6820809244020849,110,0,0.8124999995133464,72,0
SMOTE,2,4,0,Brute Force -XSS,0.7045454540850983,104,0,0.3048327134940092,187,0,0.2921348312090224,189,0,0.7262569827736337,98,0
SMOTE,2,5,0,Brute Force -XSS,0.5569620249110719,140,0,0.2985074624303854,188,0,0.6347305384850658,122,0,0.5477707002357093,142,0
SMOTE,2,6,0,Brute Force -XSS,0.733333332864815,96,0,0.3772241989794961,175,0,0.485049833516407,155,0,0.733333332864815,96,0
SMOTE,2,7,0,Brute Force -XSS,0.6369047614647463,121,1,0.3714285711234694,176,0,0.6388059697106705,121,0,0.6388059697106705,121,0
SMOTE,2,8,0,Brute Force -XSS,0.6369047614647463,121,1,0.6139817624887057,127,0,0.6347305384850658,122,0,0.6388059697106705,121,0
SMOTE,2,9,0,Brute Force -XSS,0.6388059697106705,121,0,0.1832669321029824,205,0,0.6388059697106705,121,0,0.6388059697106705,121,0
SMOTE,2,10,0,Brute Force -XSS,0.5477707002357093,142,0,0.2384615382438461,197,1,0.3048327134940092,187,0,0.5506329109870612,141,1
SMOTE,2,11,0,Brute Force -XSS,0.8367346933866097,64,0,0.7472527467805821,92,0,0.4368600679111463,164,1,0.8367346933866097,64,0
SMOTE,2,12,0,Brute Force -XSS,0.3655913975480788,177,0,0.0173913043304347,226,0,0.0429184548932564,223,0,0.3478260866666667,180,0
SMOTE,2,13,0,Brute Force -XSS,0.8542713562902452,58,0,0.6428571424170918,120,0,0.8375634512847794,63,1,0.8599999995055,56,0
SMOTE,2,14,0,Brute Force -XSS,0.6388059697106705,121,0,0.6139817624887057,127,0,0.6347305384850658,122,0,0.6388059697106705,121,0
SMOTE,2,15,0,Brute Force -XSS,0.6390532539950282,120,2,0.6388059697106705,121,0,0.6265060236623602,124,0,0.6428571424170918,120,0
SMOTE,2,16,0,Brute Force -XSS,0.685878962081406,109,0,0.5431309900162297,143,0,0.6306306301950598,123,0,0.7403314912423308,94,0
SMOTE,2,17,0,Brute Force -XSS,0.7262569827736337,98,0,0.6782608691130434,111,0,0.6744186042002434,112,0,0.8031496058143716,75,0
SMOTE,2,18,0,Brute Force -XSS,0.5523809519776267,141,0,0.196850393515469,203,1,0.3048327134940092,187,0,0.5225806447688242,147,1
SMOTE,2,19,0,Brute Force -XSS,0.6388059697106705,121,0,0.6306306301950598,123,0,0.6347305384850658,122,0,0.6388059697106705,121,0
